지역명(한글),STN ID,위도(LAT),경도(LON),관측종류,제공 정보,해수면온도+유의파고,기온+풍향+풍속,미제공 정보
모슬포,699835,33.21444444,126.25111111,N,"PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), WH(유의파고)"
성산포,699903,33.47500000,126.92777778,N,"PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), WH(유의파고)"
후포,767800,36.67444444,129.45555556,N,"PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), WH(유의파고)"
울릉도,799801,37.49333333,130.91388889,N,"PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"HM(상대습도), WH(유의파고)"
법성포,33018,35.35200000,126.38740000,F,"WD(풍향), WS(풍속), WS_GST(GUST풍속)",,,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WH(유의파고)"
실리도,33019,35.06265000,128.63935000,F,"WD(풍향), WS(풍속), WS_GST(GUST풍속)",,,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WH(유의파고)"
신안,33017,34.72700000,125.90090000,F,"WD(풍향), WS(풍속), WS_GST(GUST풍속)",,,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WH(유의파고)"
대산,33001,37.02750000,126.36250000,F,"WD(풍향), WS(풍속), WS_GST(GUST풍속)",,,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WH(유의파고)"
죽도,33002,36.27511000,126.53792000,F,"WD(풍향), WS(풍속), WS_GST(GUST풍속)",,,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WH(유의파고)"
말도,33003,35.85391000,126.31797000,F,"WD(풍향), WS(풍속), WS_GST(GUST풍속)",,,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WH(유의파고)"
격포,33004,35.61902000,126.46304000,F,"WD(풍향), WS(풍속), WS_GST(GUST풍속)",,,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WH(유의파고)"
지산,33006,34.44957000,126.11840000,F,"WD(풍향), WS(풍속), WS_GST(GUST풍속)",,,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WH(유의파고)"
통영,33009,34.76516000,128.40480000,F,"WD(풍향), WS(풍속), WS_GST(GUST풍속)",,,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WH(유의파고)"
흑산도,33010,34.65088000,125.39348000,F,"WD(풍향), WS(풍속), WS_GST(GUST풍속)",,,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WH(유의파고)"
판포,33011,33.36686000,126.20052000,F,"WD(풍향), WS(풍속), WS_GST(GUST풍속)",,,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WH(유의파고)"
해남,33013,34.31570000,126.51450000,F,"WD(풍향), WS(풍속), WS_GST(GUST풍속)",,,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WH(유의파고)"
여수,33014,34.52420000,127.73030000,F,"WD(풍향), WS(풍속), WS_GST(GUST풍속)",,,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WH(유의파고)"
서귀포,33015,33.26350000,126.64260000,F,"WD(풍향), WS(풍속), WS_GST(GUST풍속)",,,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WH(유의파고)"
울산,33016,35.58100000,129.45630000,F,"WD(풍향), WS(풍속), WS_GST(GUST풍속)",,,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WH(유의파고)"
영덕,33008,36.33874000,129.38274000,F,"WD(풍향), WS(풍속), WS_GST(GUST풍속)",,,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WH(유의파고)"
남항진,33020,37.76113000,128.96119000,F,"WD(풍향), WS(풍속), WS_GST(GUST풍속)",,,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WH(유의파고)"
구룡포,33021,35.95183000,129.54965000,F,"WD(풍향), WS(풍속), WS_GST(GUST풍속)",,,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WH(유의파고)"
기상1호,22003,34.78419500,126.40514400,J,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)",,b,"TW(해수면온도), WH(유의파고)"
